CAMIS,Longitude,Latitude,Source,Dataset Date
41670166,-73.97387341,40.68614555,TIGER/ArcMap,5/15/2015
41670151,-73.98124063,40.76397698,TIGER/ArcMap,5/15/2015
41670042,-73.95257123,40.58690978,TIGER/ArcMap,5/15/2015
41670066,-73.99043564,40.7715417,TIGER/ArcMap,5/15/2015
41670188,-73.89911325,40.82587379,TIGER/ArcMap,5/15/2015
41670292,-73.98403513,40.72777801,TIGER/ArcMap,5/15/2015
41670288,-73.97835168,40.76386308,TIGER/ArcMap,5/15/2015
41670315,-73.98015926,40.67673929,TIGER/ArcMap,5/15/2015
41670224,-73.96721811,40.63356057,TIGER/ArcMap,5/15/2015
41670338,-73.96132603,40.76061464,TIGER/ArcMap,5/15/2015
41670106,-74.03132617,40.62262708,TIGER/ArcMap,5/15/2015
41670240,-73.94131652,40.71184095,TIGER/ArcMap,5/15/2015
41670350,-73.81762607,40.83085474,TIGER/ArcMap,5/15/2015
41670464,-73.98662114,40.74769199,TIGER/ArcMap,5/15/2015
41670453,-74.00332756,40.73011371,TIGER/ArcMap,5/15/2015
41670413,-73.97370857,40.74362654,TIGER/ArcMap,5/15/2015
41670475,-74.00596527,40.70925508,TIGER/ArcMap,5/15/2015
41670486,-73.98188823,40.75066837,TIGER/ArcMap,5/15/2015
41670534,-73.95386727,40.7720061,TIGER/ArcMap,5/15/2015
41670427,-74.01672467,40.64238797,TIGER/ArcMap,5/15/2015
41670513,-73.81370612,40.7651934,TIGER/ArcMap,5/15/2015
41670551,-73.91864022,40.81836788,TIGER/ArcMap,5/15/2015
41670816,-73.94125072,40.71184783,TIGER/ArcMap,5/15/2015
41670993,-73.83296792,40.76066951,TIGER/ArcMap,5/15/2015
41670903,-73.86607389,40.8320138,TIGER/ArcMap,5/15/2015
41670931,-74.00097271,40.64383822,TIGER/ArcMap,5/15/2015
41671103,-73.98749896,40.76535632,TIGER/ArcMap,5/15/2015
41671159,-73.97134078,40.75764004,TIGER/ArcMap,5/15/2015
41671229,-73.95638877,40.77977273,TIGER/ArcMap,5/15/2015
41671440,-73.99673746,40.75599454,TIGER/ArcMap,5/15/2015
41671226,-73.94958377,40.58359714,TIGER/ArcMap,5/15/2015
41671540,-73.98758306,40.75206799,TIGER/ArcMap,5/15/2015
41671459,-73.96674098,40.69329897,TIGER/ArcMap,5/15/2015
41671728,-73.98804988,40.72713377,TIGER/ArcMap,5/15/2015
41671572,-73.86349943,40.73738413,TIGER/ArcMap,5/15/2015
41671553,-73.96357982,40.69362628,TIGER/ArcMap,5/15/2015
41671730,-74.00813796,40.61953165,TIGER/ArcMap,5/15/2015
41671873,-74.00677692,40.70979703,TIGER/ArcMap,5/15/2015
41671844,-73.94444594,40.79199765,TIGER/ArcMap,5/15/2015
41671751,-73.90327766,40.74994571,TIGER/ArcMap,5/15/2015
41671816,-73.98293736,40.57688408,TIGER/ArcMap,5/15/2015
41671908,-73.97803703,40.75151363,TIGER/ArcMap,5/15/2015
41671752,-73.9848662,40.6710002,TIGER/ArcMap,5/15/2015
41671938,-74.00698807,40.70679907,TIGER/ArcMap,5/15/2015
41671976,-73.98662745,40.68820103,TIGER/ArcMap,5/15/2015
41671961,-73.96852225,40.7549877,TIGER/ArcMap,5/15/2015
41672033,-73.9903779,40.74280621,TIGER/ArcMap,5/15/2015
41672058,-74.00198602,40.73578713,TIGER/ArcMap,5/15/2015
41672119,-73.99150636,40.74074049,TIGER/ArcMap,5/15/2015
41672122,-73.96587442,40.79500456,TIGER/ArcMap,5/15/2015
41672128,-73.98844767,40.69183514,TIGER/ArcMap,5/15/2015
41672199,-74.00308851,40.73124702,TIGER/ArcMap,5/15/2015
41672156,-73.95072785,40.70813975,TIGER/ArcMap,5/15/2015
41672217,-73.97980406,40.64258118,TIGER/ArcMap,5/15/2015
41672277,-73.96501797,40.77223815,TIGER/ArcMap,5/15/2015
41672275,-73.99313457,40.68266603,TIGER/ArcMap,5/15/2015
41672278,-73.9426425,40.65117659,TIGER/ArcMap,5/15/2015
41672283,-73.98492554,40.72823808,TIGER/ArcMap,5/15/2015
41672406,-73.93194943,40.85187164,TIGER/ArcMap,5/15/2015
41672397,-73.98794969,40.65962185,TIGER/ArcMap,5/15/2015
41672484,-73.96014832,40.81403213,TIGER/ArcMap,5/15/2015
41672700,-73.937736,40.68180068,TIGER/ArcMap,5/15/2015
41672732,-73.88220549,40.8448025,TIGER/ArcMap,5/15/2015
41672855,-73.95547729,40.72097858,TIGER/ArcMap,5/15/2015
41672537,-73.95203496,40.74292867,TIGER/ArcMap,5/15/2015
41672903,-73.9752974,40.7577987,TIGER/ArcMap,5/15/2015
41672745,-73.85144131,40.87255228,TIGER/ArcMap,5/15/2015
41672821,-74.0112867,40.63374426,TIGER/ArcMap,5/15/2015
41672897,-73.79396648,40.68627213,TIGER/ArcMap,5/15/2015
41673105,-73.98826788,40.75497211,TIGER/ArcMap,5/15/2015
41673128,-73.87690538,40.75029666,TIGER/ArcMap,5/15/2015
41673137,-73.8858656,40.74828059,TIGER/ArcMap,5/15/2015
41673139,-73.9740341,40.5901855,TIGER/ArcMap,5/15/2015
41673166,-73.86471886,40.74865477,TIGER/ArcMap,5/15/2015
41673359,-74.009525,40.70467592,TIGER/ArcMap,5/15/2015
41673175,-73.95361071,40.8037425,TIGER/ArcMap,5/15/2015
41673493,-73.97001293,40.75557163,TIGER/ArcMap,5/15/2015
41673468,-73.88309598,40.6661424,TIGER/ArcMap,5/15/2015
41673782,-73.96342624,40.79836553,TIGER/ArcMap,5/15/2015
41673743,-73.96680363,40.79882447,TIGER/ArcMap,5/15/2015
41673635,-73.92349513,40.69024343,TIGER/ArcMap,5/15/2015
41673850,-74.00000815,40.68437205,TIGER/ArcMap,5/15/2015
41673844,-73.98933091,40.71832089,TIGER/ArcMap,5/15/2015
41673883,-73.98120105,40.72897108,TIGER/ArcMap,5/15/2015
41673898,-73.98471351,40.73057748,TIGER/ArcMap,5/15/2015
41673897,-73.71826348,40.73514052,TIGER/ArcMap,5/15/2015
41673803,-73.77513546,40.67256532,TIGER/ArcMap,5/15/2015
41674131,-74.00128161,40.72154826,TIGER/ArcMap,5/15/2015
41673993,-73.98980002,40.73364207,TIGER/ArcMap,5/15/2015
41674092,-73.9635674,40.71868563,TIGER/ArcMap,5/15/2015
41674322,-73.8457859,40.78314408,TIGER/ArcMap,5/15/2015
41674382,-73.9688455,40.75740893,TIGER/ArcMap,5/15/2015
41674167,-73.9131245,40.63567931,TIGER/ArcMap,5/15/2015
41674445,-73.86809962,40.86535876,TIGER/ArcMap,5/15/2015
41674459,-73.9304488,40.86809486,TIGER/ArcMap,5/15/2015
41674573,-73.98742628,40.74790779,TIGER/ArcMap,5/15/2015
41674562,-74.004548,40.72135542,TIGER/ArcMap,5/15/2015
41674628,-74.00751221,40.71312327,TIGER/ArcMap,5/15/2015
41674655,-73.94563121,40.79203493,TIGER/ArcMap,5/15/2015
41674502,-73.82803365,40.76485529,TIGER/ArcMap,5/15/2015
41674679,-73.90230821,40.83180084,TIGER/ArcMap,5/15/2015
41674683,-73.95033159,40.6724426,TIGER/ArcMap,5/15/2015
41674716,-73.90209887,40.84577917,TIGER/ArcMap,5/15/2015
41674785,-73.9399353,40.58991219,TIGER/ArcMap,5/15/2015
41674832,-73.99148626,40.74969761,TIGER/ArcMap,5/15/2015
41674774,-73.94431006,40.6996689,TIGER/ArcMap,5/15/2015
41674598,-73.76872238,40.75900482,TIGER/ArcMap,5/15/2015
41675034,-73.96140863,40.77162766,TIGER/ArcMap,5/15/2015
41674965,-74.00080849,40.60086361,TIGER/ArcMap,5/15/2015
41675163,-73.92503927,40.81006965,TIGER/ArcMap,5/15/2015
41675055,-74.00670737,40.63832148,TIGER/ArcMap,5/15/2015
41674675,-73.92492032,40.76848152,TIGER/ArcMap,5/15/2015
41675250,-73.94891369,40.64533807,TIGER/ArcMap,5/15/2015
41675147,-73.97399108,40.60432986,TIGER/ArcMap,5/15/2015
41675506,-73.97248261,40.75157271,TIGER/ArcMap,5/15/2015
41675367,-73.95804443,40.59870784,TIGER/ArcMap,5/15/2015
41675471,-73.92478979,40.80996526,TIGER/ArcMap,5/15/2015
41675435,-73.99436442,40.60221651,TIGER/ArcMap,5/15/2015
41675531,-73.99828767,40.76074877,TIGER/ArcMap,5/15/2015
41675816,-73.97234049,40.75377434,TIGER/ArcMap,5/15/2015
41675807,-73.98641636,40.66929222,TIGER/ArcMap,5/15/2015
41675459,-73.76657859,40.70267062,TIGER/ArcMap,5/15/2015
41675971,-74.01298225,40.62805048,TIGER/ArcMap,5/15/2015
41675589,-73.90817699,40.77427456,TIGER/ArcMap,5/15/2015
41676090,-73.98603461,40.74998537,TIGER/ArcMap,5/15/2015
41676211,-73.96694095,40.62950522,TIGER/ArcMap,5/15/2015
41676306,-73.94995275,40.78022261,TIGER/ArcMap,5/15/2015
41676147,-74.00025252,40.64435108,TIGER/ArcMap,5/15/2015
41676393,-73.8937121,40.85059878,TIGER/ArcMap,5/15/2015
