company_name,url,year_founded,description,full_time_employees,zip_code,latitude,longitude
Aidin,http://www.myAidin.com,2011.0,"Aidin helps hospitals and their patients choose the highest quality post-acute care available to them. By streamlining hospital staff's search process for available post-acute care and tracking and sharing with patients how well providers have performed with similar patients in the past, Aidin helps hospitals reduce length of stay and prevent costly and dangerous readmissions from post-acute care.",1-10,10013.0,25.0331438,121.517527
Allianz,http://www.allianzusa.com,1896.0,"Allianz Life Insurance Company is a provider of retirement solutions, including fixed and variable annuities and life insurance for individuals.","10,001+",10019.0,45.3815498,7.887892675
AreaVibes Inc.,http://www.areavibes.com/,2009.0,"AreaVibe works to provide you with everything you need to know about every city in the United States. The AreaVibe algorithm assigns a total score (“AreaVibe” in our speak) based on the most important metrics for each city, including: cost of living, crime rates, education, employment, health & safety, housing, weather, transportation, local businesses and even user reviews. The higher the score, the better the city (in our opinion).",1-10,,34.220389,70.3800314
Asset4,asset4.com,2003.0,"ASSET4 AG provides investment research information on economic, environmental, social, and governance (ESG) aspects of corporate performance. The company provides a database containing ESG information of publicly listed companies, countries, local authorities, state-owned companies, and supranational entities in a Web based architecture. It also provides equity-focused solutions and fixed income solutions for professional investors and corporate executives; extra-financial information for fixed income investments; and carbon data and estimates.",51-200,10036.0,45.1367803738,7.76208309478
Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,2006.0,"Be Informed is an internationally operating, independent software vendor. The Be Informed business process platform transforms administrative processes. Thanks to Be Informed’s unique semantic technology and solutions, business applications become completely model-driven, allowing organizations to instantly execute on new strategies and regulations.",51-200,10022.0,44.8490307667,7.73488306667
Berkery Noyes MandASoft,https://mandasoft.com/,2009.0,"MandAsoft.com, provided by Berkery Noves, is an information service that provides mergers and acquisitions data via a hosted and searchable database. It is based on the Berkery Noyes Information Industry Weekly report, a resource for mergers and acquisitions data for many top executives of companies that have been shaping the future of information. Although anyone interested in M&A would find MandAsoft.com to be useful, this service is geared towards a C-level executive who wants to quickly find and review information industry transactions and companies with an eye toward finding a match for their own products and services.",1-10,10006.0,34.02,-6.837
BillGuard,https://www.billguard.com,2010.0,"BillGuard's mission is to use data to save people money. American consumers lose over $14 billion a year to legal grey charges which result from misleading sales and billing practices. We developed advanced crowd-sourcing technology to collect and analyze billing dispute data from millions of consumers in order to extract patterns of fraud and ""Grey Charges"". We use these analytics to monitor our user's credit and debit card statements, alerting them to similar charges on their cards and helping them get their money back.",11-50,11036.0,51.0835633333,27.43767
Bloomberg,http://www.bloomberg.com,1982.0,"Bloomberg, a global business and financial information and news provider, gives influential decision-makers a critical edge by connecting them to a dynamic network of information, people and ideas. 

<p>The company delivers data, news and analytics through innovative technology, quickly and accurately. This is at the core of the Bloomberg Professional service, which provides real time financial information to subscribers globally.</p> 

<p>Bloomberg’s enterprise solutions leverages technology to allow customers to access, integrate, distribute and manage data and information across organizations more efficiently and effectively. </p>

<p>Bloomberg News, delivered through the Bloomberg Professional service, television, radio, mobile, the Internet and two magazines, Bloomberg Businessweek and Bloomberg Markets, covers the world with more than 2,430 news and multimedia professionals at 146 bureaus in 72 countries.</p>","10,001+",10022.0,44.8490307667,7.73488306667
Boundless,www.boundlessgeo.com,2013.0,"Boundless supports customers with a variety of solutions including commercial open source maintenance, spatial IT infrastructure, and data management and analysis tools. Our mission is to develop and maintain the best open source software for geospatial applications. Our roots are in the open source community and our team members are actively involved core contributors and steering committee members across many open source geospatial projects. The foundation of our company is based on the knowledge that openness leads to better collaboration, better software and greater innovation.",11-50,10038.0,40.7094713585,-74.0037620973
Business Monitor International,www.businessmonitor.com,1984.0,"Business Monitor provides trusted, independent analysis and forecasts on countries, industries and financial markets.",201-500,,34.220389,70.3800314
"Calcbench, Inc.",calcbench.com,2012.0,"Calcbench is a company that fully harnesses the power of the new, government mandated data standard called XBRL. This gives us a direct line into the SEC's corporate financial data repository. As a result, we are able to provide data with a whole new level of detail, faster, and at a much better value. Our expertise is that we process and store all XBRL filings in a uniquely structured, cloud based data universe. We use advanced computing techniques to identify and correct errors (close to half a million corrections made so far), and increase comparability between companies. We make data available to you within minutes after a filing leaves the CFOs hands.",1-10,10002.0,34.01,-6.828
Cambridge Information Group,http://www.cig.com,1971.0,"Cambridge Information Group (CIG) is a family owned management and investment firm, primarily focused on education, research and information services companies. Our investments have largely focused on businesses in the information services and education industry broadly defined. Generally, our investments either support an existing business or launch a new platform. Our primary goal is to expand and grow existing operating companies through strategic acquisitions. CIG concentrates on businesses of any size, location, and technology structure that can leverage our existing platforms.",11-50,10019.0,45.3815498,7.887892675
CAN Capital,http://www.cancapital.com/,1998.0,"CAN Capital (formerly Capital Access Network) is a large, experienced company providing small businesses with access to alternative capital. CAN Capital uses innovative and proprietary risk models combined with daily performance data to evaluate business performance. Its business evaluation model allows it to facilitate capital for entrepreneurs and help them qualify for more money than they could obtain elsewhere. Small businesses in over 650 industries have chosen CAN Capital to obtain easy access to the funding that they need. 

CAN Capital makes capital available to businesses through its subsidiaries: Merchant Cash Advances by CAN Capital Merchant Services, Inc., and business loans through CAN Capital Asset Servicing, Inc. (CCAS). All business loans obtained through CCAS are made by WebBank, a Utah-chartered Industrial Bank, member FDIC.",201-500,10014.0,45.3033356,7.8899401
Canon,http://www.canon.com,1937.0,"Canon is a Japanese multinational corporation specialized in the manufacture of imaging and optical products, including cameras, camcorders, photocopiers, steppers, computer printers and medical equipment. 

<p>Canon scanners offer high-performance features that make converting paper documents easier, such as high-speed precision feeding technology, compact design, high-speed color capability and even flexible configuration options. Canon is working with Captricity to transform government data into a form whereby it can be tagged, shared, secured and mashed up.</p>","10,001+",11747.0,50.6194021481,27.881727558
Capital Cube,http://www.capitalcube.com,2010.0,"Capital Cube provides company analysis including on-demand fundamental research, portfolio evaluation, and screening tools on over 40000 global equities and ETFs. The web portal empowers your investment ideas through in-depth analysis on a company’s (a) performance relative to its peers, (b) accounting and earnings quality, (c) dividend strength, and (d) likely corporate actions such as dividend changes, share buybacks, and acquisitions. Our stock screener allows you to identify investment ideas using natural business terms and by investing themes e.g. companies likely to increase dividends or those with earnings quality issues. The ETF Analysis tool provides detailed fundamental analysis of ETFs by each risk component.",11-50,14221.0,42.9805307485,-78.7269806217
