CAMIS,Longitude,Latitude,Source,Dataset Date,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,geo_key,ditance,distance
41670151,-73.98124063,40.76397698,TIGER/ArcMap,5/15/2015,CAFE OLIVIERO,MANHATTAN,850       ,7 AVENUE                                          ,10019.0,2125821902,American ,10/24/2014,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,23.0,B,10/24/2014,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.763976980000002, -73.981240630000002)",0.296848734393,0.296848734393
41670288,-73.97835168,40.76386308,TIGER/ArcMap,5/15/2015,CHOP'T,MANHATTAN,120       ,WEST   56 STREET                                  ,10019.0,6467831600,Salads,08/21/2014,Violations were cited in the following area(s).,10F,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Not Critical,28.0,A,08/21/2014,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.76386308, -73.978351680000003)",0.355993799805,0.355993799805
41670464,-73.98662114,40.74769199,TIGER/ArcMap,5/15/2015,BLEU ELE,MANHATTAN,43        ,WEST   32 STREET                                  ,10001.0,2122901414,Café/Coffee/Tea,09/24/2013,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,25.0,A,09/24/2013,07/04/2015,Trans Fat / Re-inspection,"(40.74769199, -73.986621139999997)",0.378089703483,0.378089703483
41670486,-73.98188823,40.75066837,TIGER/ArcMap,5/15/2015,JAPAS 38,MANHATTAN,9,EAST   38 STREET,10016.0,2126794040,Japanese,12/30/2013,Violations were cited in the following area(s).,10H,Wiping cloths soiled or not stored in sanitizing solution.,Not Critical,41.0,C,12/30/2013,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.75066837, -73.981888229999996)",0.479238079312,0.479238079312
41670427,-74.01672467,40.64238797,TIGER/ArcMap,5/15/2015,THE HAVEN,BROOKLYN,5721,4 AVENUE,11220.0,7184399893,Irish,07/25/2012,Violations were cited in the following area(s).,10F,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,07/25/2012,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.642387970000001, -74.016724670000002)",0.0933041611722,0.0933041611722
41670551,-73.91864022,40.81836788,TIGER/ArcMap,5/15/2015,KIM HUA,BRONX,628       ,COURTLANDT AVENUE                                 ,10451.0,7185859095,Chinese,12/24/2014,Violations were cited in the following area(s).,22A,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Not Critical,23.0,A,12/24/2014,07/04/2015,Trans Fat / Re-inspection,"(40.818367879999997, -73.91864022)",0.162602178063,0.162602178063
41671103,-73.98749896,40.76535632,TIGER/ArcMap,5/15/2015,ALFIE'S,MANHATTAN,800,9 AVENUE,10019.0,2127572390,Irish,12/30/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,43.0,A,12/30/2014,07/04/2015,Pre-permit (Non-operational) / Re-inspection,"(40.765356320000002, -73.987498959999996)",0.353803738428,0.353803738428
41671440,-73.99673746,40.75599454,TIGER/ArcMap,5/15/2015,TAMPOPO CATERING,MANHATTAN,450,WEST   37 STREET,10018.0,9177426080,American ,09/10/2012,Violations were cited in the following area(s).,10J,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,30.0,A,01/16/2015,07/04/2015,Pre-permit (Non-operational) / Re-inspection,"(40.755994540000003, -73.996737460000006)",0.387256846343,0.387256846343
41671540,-73.98758306,40.75206799,TIGER/ArcMap,5/15/2015,DUNKIN DONUTS,MANHATTAN,1369,BROADWAY,10018.0,6466493753,Donuts,11/13/2013,Violations were cited in the following area(s).,22B,Toilet facility used by women does not have at least one covered garbage receptacle.,Not Critical,21.0,A,11/13/2013,07/04/2015,Pre-permit (Operational) / Initial Inspection,"(40.75206799, -73.987583060000006)",0.186661858013,0.186661858013
41672033,-73.9903779,40.74280621,TIGER/ArcMap,5/15/2015,TRE STELLE,MANHATTAN,37        ,WEST   24 STREET                                  ,10010.0,2122554655,Italian,10/01/2012,Violations were cited in the following area(s).,20E,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Not Critical,46.0,B,09/13/2012,07/04/2015,Pre-permit (Operational) / Re-inspection,"(40.742806209999998, -73.990377900000013)",0.492582391595,0.492582391595
