Station_Name,Latitude,Longitude,geo_key
121st St,40.700492,-73.828294,"(40.700491999999997, -73.828294)"
125th St,40.804138,-73.958372,"(40.804138000000002, -73.958371999999997)"
145th St,40.820421,-73.95036,"(40.820421000000003, -73.950360000000003)"
149th St-3rd Av,40.816109,-73.917757,"(40.816109000000004, -73.917756999999995)"
149th St-Grand Concourse,40.818375,-73.927351,"(40.818375000000003, -73.927351000000002)"
14th St,40.737826,-74.00169,"(40.737825999999998, -74.001689999999996)"
14th St-Union Square,40.734673,-73.989951,"(40.734673000000001, -73.989951000000005)"
34th St,40.749567,-73.993391,"(40.749566999999999, -73.993391000000003)"
42nd St,40.754222,-73.989735,"(40.754221999999999, -73.989734999999996)"
59th St,40.641362,-74.017881,"(40.641362000000001, -74.017881000000003)"
59th St-Columbus Circle,40.768247,-73.981929,"(40.768246999999995, -73.981929000000008)"
86th St,40.592721,-74.028398,"(40.592721000000004, -74.028397999999996)"
Canal St,40.718092,-74.006277,"(40.718091999999999, -74.006276999999997)"
Canal St (UL),40.719527,-74.001775,"(40.719526999999999, -74.001774999999995)"
Canarsie - Rockaway Parkway,40.645757,-73.9025,"(40.645757000000003, -73.902500000000003)"
Carroll St,40.680303,-73.995048,"(40.680303000000002, -73.995047999999997)"
Castle Hill Av,40.834255,-73.851222,"(40.834254999999999, -73.851221999999993)"
Cathedral Parkway-110th St,40.800605,-73.966847,"(40.800604999999997, -73.966847000000001)"
