Station_Name,Latitude,Longitude
103rd St,40.749865,-73.968379
104th St-102nd St,40.695178,-73.84433
104th St-Oxford Av,40.681711,-73.837683
110th St,40.79502,-73.94425
110th St-Central Park North,40.799075,-73.951822
111th St,40.697418,-73.855334
111th St-Greenwood Av,40.684331,-73.832163
116th St,40.798629,-73.954882
116th St-Columbia University,40.807722,-73.96411
121st St,40.700492,-73.828294
125th St,40.804138,-73.958372
135th St,40.814229,-73.947649
137th St-City College,40.822008,-73.953676
138th St,40.813224,-73.929849
138th St-3rd Ave,40.810476,-73.926138
145th St,40.820421,-73.95036
149th St-3rd Av,40.816109,-73.917757
149th St-Grand Concourse,40.818375,-73.927351
14th St,40.737826,-74.00169
14th St-Union Square,40.734673,-73.989951
155th St,40.830135,-73.941514
157th St,40.834041,-73.94489
163rd St - Amsterdam Av,40.836013,-73.939892
167th St,40.833769,-73.9214
168th St,40.840556,-73.940133
168th St - Washington Heights,40.840719,-73.939561
169th St,40.71047,-73.793604
170th St,40.839306,-73.917791
174-175th Sts,40.8459,-73.910136
174th St,40.837288,-73.887734
175th St,40.847391,-73.939704
176th St,40.84848,-73.911794
181st St,40.849505,-73.937969
182nd-183rd Sts,40.856093,-73.900741
183rd St,40.858407,-73.903879
18th Av,40.607954,-74.001736
18th St,40.74104,-73.997871
190th St,40.859022,-73.93418
191st St,40.855225,-73.929412
1st Av,40.730953,-73.981628
207th St,40.864614,-73.918819
20th Av,40.604556,-73.998168
215th St,40.869444,-73.915279
219th St,40.883895,-73.862633
21st St,40.744065,-73.949724
225th St,40.888022,-73.860341
231st St,40.878856,-73.904834
233rd St,40.893193,-73.857473
238th St,40.884667,-73.90087
238th St-Nereid Av,40.898379,-73.854376
23rd St,40.739864,-73.998041
23rd St-Ely Av,40.747846,-73.946
25th Av,40.597704,-73.986829
25th St,40.660397,-73.998091
28th St,40.74307,-73.993365
2nd Av,40.723402,-73.989938
30 Av-Grand Av,40.766779,-73.921479
33rd St,40.746081,-73.982076
34th St,40.749567,-73.993391
36 Av-Washington Av,40.756804,-73.929575
36th St,40.655144,-74.003549
39 Av-Beebe Av,40.752882,-73.932755
3rd Av,40.732849,-73.986122
42nd St,40.754222,-73.989735
45 Rd-Court House Sq,40.747023,-73.945264
